89141:
 num     #instances         #bytes  class name (module)
 202:          1863          44712  java.util.ImmutableCollections$SetN (java.base@25.0.3)
 203:          1811          43464  java.util.LinkedHashMap$LinkedEntrySet (java.base@25.0.3)
 204:          1356          43392  net.minecraft.world.level.lighting.ChunkSkyLightSources
 205:          1806          43344  com.mojang.serialization.Codec$2
 206:           667          42688  java.lang.Class$ReflectionData (java.base@25.0.3)
 207:          1774          42576  net.minecraft.util.parsing.packrat.Dictionary$Entry
 208:          1064          42560  sun.security.util.DerInputStream (java.base@25.0.3)
 209:          2622          41952  net.minecraft.world.item.crafting.Ingredient
 210:          1738          41712  net.minecraft.advancements.triggers.InventoryChangeTrigger$TriggerInstance
 211:          2583          41328  com.google.common.collect.RegularImmutableList
 212:           638          40832  java.net.URL (java.base@25.0.3)
 213:           829          40768  [Ljava.lang.invoke.LambdaForm$Name; (java.base@25.0.3)
 214:          2540          40640  java.util.jar.Attributes (java.base@25.0.3)
 215:          1688          40512  net.minecraft.advancements.AdvancementHolder
 216:          1688          40512  net.minecraft.advancements.AdvancementNode
 217:          1257          40224  java.util.PriorityQueue (java.base@25.0.3)
 218:          1250          40000  net.minecraft.world.ticks.LevelChunkTicks
 219:           824          39552  java.lang.invoke.LambdaForm (java.base@25.0.3)
 220:           547          39384  java.lang.reflect.Constructor (java.base@25.0.3)
 221:          1201          38432  net.minecraft.world.level.block.state.StateDefinition
 222:          1585          38040  net.minecraft.world.item.crafting.RecipeHolder
 223:          1581          37944  net.minecraft.util.parsing.packrat.Term$Marker
 224:           948          37920  java.math.BigInteger (java.base@25.0.3)
 225:          2354          37664  java.util.concurrent.atomic.AtomicInteger (java.base@25.0.3)
 226:          1568          37632  net.minecraft.world.item.crafting.RecipeManager$ServerDisplayInfo
 227:          1562          37488  net.minecraft.world.item.crafting.PlacementInfo
 228:          1561          37464  net.minecraft.advancements.triggers.RecipeUnlockedTrigger$TriggerInstance
 229:          2340          37440  it.unimi.dsi.fastutil.chars.CharLists$Singleton
 230:          1159          37088  net.minecraft.util.CrudeIncrementalIntIdentityHashBiMap
 231:           308          36960  org.objectweb.asm.tree.ClassNode
 232:          1537          36888  net.minecraft.core.component.DataComponentInitializers$InitializerEntry
 233:          1537          36888  net.minecraft.world.item.Item$Properties$$Lambda/0x0000100001643800
 234:          1152          36864  java.util.Locale (java.base@25.0.3)
 235:          1152          36864  sun.util.locale.BaseLocale (java.base@25.0.3)
 236:          1520          36480  net.minecraft.world.level.biome.Climate$RTree$SubTree
 237:            66          36432  io.netty.util.internal.shaded.org.jctools.queues.MpmcArrayQueue
 238:           907          36280  com.google.common.collect.RegularImmutableMap
 239:           906          36240  net.minecraft.world.phys.Vec3
 240:          2263          36208  java.util.concurrent.atomic.AtomicReferenceArray (java.base@25.0.3)
 241:          1125          36000  org.objectweb.asm.tree.InsnList
 242:          1495          35880  jdk.jfr.AnnotationElement (jdk.jfr@25.0.3)
 243:          2209          35344  net.minecraft.server.level.ChunkMap$$Lambda/0x000010000220df60
 244:           441          35280  it.unimi.dsi.fastutil.longs.Long2ObjectLinkedOpenHashMap
 245:          1099          35168  com.mojang.serialization.codecs.OptionalFieldCodec
 246:          1458          34992  net.minecraft.world.ticks.ProtoChunkTicks
 247:          2181          34896  com.google.common.collect.SingletonImmutableList
 248:           715          34320  jdk.internal.ref.CleanerImpl$PhantomCleanableRef (java.base@25.0.3)
 249:          1430          34320  jdk.jfr.internal.AnnotationConstruct (jdk.jfr@25.0.3)
 250:          1064          34048  sun.security.util.DerValue (java.base@25.0.3)
 251:          2066          33056  com.mojang.datafixers.DataFixUtils$$Lambda/0x000010000144aa58
 252:          2066          33056  net.minecraft.world.level.block.state.StateDefinition$$Lambda/0x000010000144b148
 253:          2066          33056  net.minecraft.world.level.block.state.StateDefinition$$Lambda/0x000010000144b398
 254:          1029          32928  com.google.common.collect.MapMakerInternalMap$WeakKeyDummyValueEntry
 255:          1026          32832  net.minecraft.network.syncher.SynchedEntityData$DataItem
 256:          1361          32664  net.minecraft.core.component.DataComponentInitializers$Initializer$$Lambda/0x00001000017556c0
 257:          1342          32208  com.mojang.serialization.MapCodec$10
 258:           802          32080  com.google.common.collect.ImmutableSortedMap
 259:          1978          31648  net.minecraft.util.parsing.packrat.Atom
 260:           304          31616  java.util.jar.JarFile$JarFileEntry (java.base@25.0.3)
 261:           790          31600  jdk.jfr.ValueDescriptor (jdk.jfr@25.0.3)
 262:          1308          31392  net.minecraft.tags.TagKey
 263:          1307          31368  net.minecraft.core.HolderSet$Named
 264:           347          30368  [Ljava.util.WeakHashMap$Entry; (java.base@25.0.3)
 265:          1258          30192  net.minecraft.util.random.Weighted
 266:          1871          29936  net.minecraft.world.item.crafting.display.SlotDisplay$ItemStackSlotDisplay
 267:          1242          29808  com.mojang.serialization.Decoder$5
 268:          1242          29808  com.mojang.serialization.codecs.RecordCodecBuilder$2
 269:          1237          29688  net.minecraft.util.parsing.packrat.Rule$WrappedTerm
 270:           734          29360  net.minecraft.world.item.crafting.ShapedRecipePattern
 271:          1825          29200  net.minecraft.util.datafix.schemas.V1460$$Lambda/0x00001000017e8250
 272:           520          29120  net.minecraft.network.chat.Style
 273:          1204          28896  net.minecraft.nbt.LongTag
 274:          1201          28824  net.minecraft.world.level.block.state.StateDefinition$$Lambda/0x0000100001430400
 275:           512          28672  com.google.common.cache.LocalCache$WeakAccessEntry
 276:           134          28464  [Ljava.lang.invoke.MethodHandle; (java.base@25.0.3)
 277:          1162          27888  com.mojang.serialization.Decoder$1
 278:          1158          27792  net.minecraft.world.level.chunk.HashMapPalette
 279:           866          27712  java.util.LinkedList (java.base@25.0.3)
 280:           853          27296  net.minecraft.world.level.storage.loot.functions.SetItemCountFunction
 281:          1137          27288  it.unimi.dsi.fastutil.ints.IntArrayList
 282:           308          27104  org.spongepowered.asm.mixin.transformer.MixinInfo
 283:          1693          27088  java.util.AbstractMap$1 (java.base@25.0.3)
 284:          1689          27024  net.minecraft.advancements.AdvancementRequirements
 285:           671          26840  java.util.IdentityHashMap (java.base@25.0.3)
 286:           836          26752  org.objectweb.asm.Type
 287:           553          26544  java.lang.invoke.DirectMethodHandle$Accessor (java.base@25.0.3)
 288:          1096          26304  net.minecraft.world.item.crafting.CraftingRecipe$CraftingBookInfo
 289:           802          25664  com.google.common.collect.RegularImmutableSortedSet
 290:          1064          25536  [Lsun.security.x509.AVA; (java.base@25.0.3)
 291:           798          25536  net.minecraft.world.level.levelgen.structure.pools.SinglePoolElement
 292:          1064          25536  sun.security.x509.AVA (java.base@25.0.3)
 293:          1064          25536  sun.security.x509.RDN (java.base@25.0.3)
 294:          1060          25440  com.mojang.datafixers.types.templates.Check
 295:            44          25344  io.netty.util.internal.shaded.org.jctools.queues.MpscUnboundedArrayQueue
 296:          1055          25320  net.minecraft.references.BlockItemId
 297:          1580          25280  net.minecraft.core.component.DataComponentMap$Builder$SimpleMap
 298:           393          25152  net.minecraft.world.level.lighting.LeveledPriorityQueue$1
 299:          1568          25088  net.minecraft.world.item.crafting.display.RecipeDisplayId
 300:          1044          25056  sun.security.util.DomainName$Rule (java.base@25.0.3)
 301:          1561          24976  net.minecraft.world.item.crafting.Recipe$CommonInfo
 302:           772          24704  java.util.RegularEnumSet (java.base@25.0.3)
 303:          1020          24480  net.minecraft.util.parsing.packrat.commands.StringReaderTerms$2
 304:           609          24360  java.util.TreeMap$Entry (java.base@25.0.3)
 305:           752          24064  org.objectweb.asm.Handle
 306:           734          23488  net.minecraft.world.item.crafting.display.ShapedCraftingRecipeDisplay
 307:           733          23456  net.minecraft.world.item.crafting.ShapedRecipe
 308:           364          23296  java.security.Provider$Service (java.base@25.0.3)
 309:          1455          23280  com.mojang.datafixers.util.Either$Left
 310:           719          23008  java.lang.Package (java.base@25.0.3)
 311:           802          23000  [Lnet.minecraft.world.level.block.state.properties.Property;
 312:           950          22800  java.security.Provider$ServiceKey (java.base@25.0.3)
